antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({""['BBB Best White Sugar']""})",frozenset({'1998-12-08 00:00:00'}),0.0005289605924358636,0.06612007405448295,0.0005289605924358636,1.0,15.123999999999999,0.0004939856788921011,inf,0.9343741730616566
"frozenset({""['Club Buttermilk', 'Denny Scented Toilet Tissue', 'Landslide Hot Chocolate', 'Plato Apple Butter', 'Pleasant Creamed Corn', 'Sunset Plastic Forks']""})",frozenset({'1998-12-21 00:00:00'}),0.0005289605924358636,0.013224014810896589,0.0005289605924358636,1.0,75.61999999999999,0.0005219656097271111,inf,0.9872982270441918
"frozenset({""['Nationeel Avocado Dip']""})",frozenset({'1998-12-12 00:00:00'}),0.0005289605924358636,0.046813012430573925,0.0005289605924358636,1.0,21.361581920903955,0.0005041983536468798,inf,0.9536914527652819
