antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({1374, 958})",frozenset({126}),0.00015851628754854561,0.0029589707009061847,0.00015851628754854561,1.0,337.95535714285717,0.00015804724249807305,inf,0.997199101598626
"frozenset({708, 1534})",frozenset({475}),0.00018493566880663654,0.0031174869884547304,0.00018493566880663654,1.0,320.771186440678,0.00018435913426543068,inf,0.997066906246697
"frozenset({1298, 655})",frozenset({212}),0.00015851628754854561,0.0031967451322290033,0.00015851628754854561,1.0,312.8181818181818,0.0001580095513779458,inf,0.9969612894702076
"frozenset({1226, 1099})",frozenset({477}),0.00015851628754854561,0.0031967451322290033,0.00015851628754854561,1.0,312.8181818181818,0.0001580095513779458,inf,0.9969612894702076
"frozenset({1374, 775})",frozenset({1168}),0.00015851628754854561,0.003328842038519458,0.00015851628754854561,1.0,300.4047619047619,0.00015798861186676398,inf,0.9968291716210861
"frozenset({475, 1534})",frozenset({708}),0.0002113550500647275,0.002985390082164276,0.00018493566880663654,0.8749999999999999,293.0940265486725,0.00018430469153635798,7.976116879342679,0.9967988040815248
"frozenset({920, 714})",frozenset({244}),0.00018493566880663654,0.002932551319648094,0.00015851628754854561,0.8571428571428572,292.28571428571433,0.00015797395420893672,6.979472140762466,0.9967630271641476
"frozenset({175, 991})",frozenset({171}),0.00018493566880663654,0.0030646482259385484,0.00015851628754854561,0.8571428571428572,279.6871921182266,0.0001579495247792246,6.978547462418433,0.9966088856005355
"frozenset({171, 991})",frozenset({175}),0.00015851628754854561,0.003725132757390822,0.00015851628754854561,1.0,268.4468085106383,0.00015792579333321854,inf,0.9964328180737217
"frozenset({171, 175})",frozenset({991}),0.00018493566880663654,0.003223164513487094,0.00015851628754854561,0.8571428571428572,265.93208430913353,0.00015792020946357006,6.977437848405593,0.996423915724201
